Issue key,Issue id,Parent id,Project key,Project name,Project type,Project lead,Project description,Project url,Custom field (Epic Name),Issue Type,Priority,Summary,Assignee,Custom field (Squad),Custom field (Team),Status,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Resolution,Custom field (Story Points)
EFDDH-1194,8118012,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,Platform:Build: FLAT - higher env deployment issue (dbt loom to be isntalled for higher env container issues)- EFDDH-900 -in in progress,thiruns1,,,Story in Progress,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,5
EFDDH-1193,8118010,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,"Platform:Build: For pipeline20 - FDH/CD-DBT-MODEL-FLAT pipeline, the triggers branch_regex needs to be revisited as ""/^((release.*|develop|hotfix.*)$).*/gi"" under",thiruns1,,,In Dev,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,5
EFDDH-1192,8118009,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,Platform:Build: All FLAT pipelines are executed twice,thiruns1,,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,5
EFDDH-1191,8118008,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,"Platform:Build: DAG ""REGDH_CNF_AR_APPGRP1"" for FLAT has been failed with below error  - SELECTED_MODEL_PATH is not a valid file.",thiruns1,,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,5
EFDDH-1190,8114717,8114174,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Sub Task,Low,Grant permissions to the datasets as data editors via console ,thiruns1,Black Panther Core,,To Do,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,
EFDDH-1189,8114174,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Medium,"ARF223: Misc: Create new branch, datasets for business and grant access",kummarip,,,Story in Progress,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,3
EFDDH-1188,8113940,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Medium,ARF223: Misc: Coding standards documentation ,dabkea,,,Backlog,BP: EFDDH Sprint 17,BP: EFDDH Sprint 20,,,,,,,,,,,,,,,,,,3
EFDDH-1187,8111887,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223 - Sourcing - DGCP Access for Ankur,thirunab,,,Story in Progress,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,3
EFDDH-1186,8110077,8087911,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Sub Task,High,Stakeholder Review and Sign-off,deshpav1,Black Panther Core,,In Progress,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,
EFDDH-1185,8110075,8087911,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Sub Task,High,Technical Implementation Planning,deshpav1,Black Panther Core,,In Progress,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,
